Cliente;Sito;Citta;DALLE_M;ALLE_M;DALLE_P;ALLE_P;0;1;2;3;4;5;Indirizzo_sito
C,I,D,A,S,;sede op, VIA GRAMICIA 83;FERRARA;;;;;x;x;x;x;x;;VIA GRAMICIA 83 , FERRARA 44123 , FE
C,I,D,A,S,;sede op, CENTO VIA BARUFFALDI;CENTO;;;;;x;x;x;x;x;;VIA BARUFFALDI 2/B , CENTO , FE
C,I,S,A,F, SRL;sede op, GAIBA;GAIBA;;;;;x;x;x;x;x;;VIA LEONARDO DA VINCI , 12 , GAIBA 45030 , RO
C,I,S,A,F, SRL;sede op, PORTOMAGGIORE;PORTOMAGGIORE;;;;;x;x;x;x;x;;VIA OLMO 13 , PORTOMAGGIORE 44015 , FE
CA\' DEL MARE DI CAVAZZINI GIORGIA;sede legale;MALALBERGO;;;;;;;x;x;x;x;VIA NAZIONALE 425 , MALALBERGO 40051 , BO
CAFFETTERIA ALPHA di Presti Sabrina;Sede;SANTA MARIA MADDALENA;;;;;x;x;x;x;x;x;VIA ERIDANIA 251 , SANTA MARIA MADDALENA 45030 , RO
CAFFETTERIA VIARAVENNA di Roma Vinicio;Sede legale;FERRARA;;;;;x;x;x;x;x;x;VIA RAVENNA 125 , FERRARA 44124 , FE
CALABRIA ARNALDO;sede legale;FERRARA;;;;;x;x;x;x;x;x;VIA DEL CARBONE 6 , FERRARA 44121 , FE
CALCESTRUZZI PRECONFEZIONATI SRL;sede legale;SAN GIORGIO DI PIANO;;;;;x;x;x;x;x;;VIA PROVINCIALE POGGIO RENATICO 13/2 , SAN GIORGIO DI PIANO 40016 , BO
CAR,GA, DI MORSELLI CARLO E MACCIOCCHI GAETANO SNC;sede legale;FERRARA;;;;;x;x;x;x;x;;VIA GRAMICIA 41 , FERRARA 44123 , FE
CARLINI GIOVANNI;Sede legale;CESTA;;;;;x;x;x;x;x;x;VIA PROVINCIALE 103 , CESTA 44034 , FE
CASA DEL VOLONTARIATO AGIRE SOCIALE;sede op, IL MANTELLO;FERRARA;;;;;x;x;x;x;x;;VIA MURA DI PORTA PO 9 , FERRARA 44121 , FE
CASA DI RIPOSO VILLA MARIA GRAZIA SRL;sede legale;PASSO SEGNI - BARICELLA;;;;;x;x;x;x;x;;VIA GUIDETTI 18 , PASSO SEGNI - BARICELLA 40052 , BO
CASARI GIULIA;Sede legale;FERRARA;;;;;x;x;x;x;x;x;VIA GONDAR 29 , FERRARA 44121 , FE
CASEIFICIO LUCCHESI SRL;sede legale;CRESPELLANO - BOLOGNA;;;;;x;x;x;x;x;;VIA CASSOLA 19 , CRESPELLANO - BOLOGNA 40056 , BO
CAVALLO BARBARA;SEDE LEGALE;FERRARA;;;;;x;x;x;x;x;x;VIA B, D\'ESTE 32 , FERRARA 44121 , FE
CAVALLO GABRIELE;Sede;PONTEGRADELLA;;;;;x;x;x;x;x;x;VIA PIOPPA 293A , PONTEGRADELLA 44123 , FE
CAVICCHI PIERLUIGI;Sede;FERRARA;;;;;x;x;x;x;x;x;VIA VALLE OSILIERA, 11 , FERRARA 44124 , FE
CEDOLIN SERGIO;Sede legale;POROTTO;;;;;x;x;x;x;x;x;VIA LADINO 81/B , POROTTO 44124 , FE
CENTRO COMMERCIALE BETA CENTER;SEDE LEGALE;FERRARA;;;;;x;x;x;x;x;x;VIA BOLOGNA 453 , FERRARA 44124 , FE
CENTRO DI PROMOZIONE SOCIALE IL QUADRIFOGLIO;sede legale;FERRARA;;;;;x;x;x;x;x;;VIALE SAVONUZZI 54 , FERRARA 44122 , FE
CENTRO DI PROMOZIONE SOCIALE RIVANA GARDEN;sede legale;FERRARA;;;;;x;x;x;x;x;;VIA G, PESCI 181 , FERRARA 44122 , FE
CENTRO EDUCATIVO CHIARA E FRANCESCO;sede legale;FERRARA;;;;;x;x;x;x;x;;C,SO BIAGIO ROSSETTI 46 , FERRARA 44121 , FE
CENTRO EDUCATIVO CHIARA E FRANCESCO;sede op, APPARTAMENTO;FERRARA;;;;;x;x;x;x;x;;via delle statue, 31 , FERRARA 44121 , FE
CENTRO ENERGIA FERRARA SRL;sede op, UFFICI ARCHIVI MAGAZZINI E CABINE ELETTRICHE;FERRARA;;;;;x;x;x;x;x;;P,LE DONEGANI 12 , FERRARA 44122 , FE
CHEMIA SPA;sede legale UFFICI;CENTO;;;;;x;x;x;x;x;;VIA STATALE 327 , CENTO 44047 , FE
CHEMIA SPA;sede op, STABILIMENTO;CENTO;;;;;x;x;x;x;x;;VIA STATALE 327 , CENTO 44047 , FE
CHERUBINI STEFANIA;sede legale;CENTO;;;;;x;x;x;x;x;x;VIA GUERCINO 25 , CENTO 44042 , FE
CILA CIICAI SOC, COOP, CONS;SEDE OP, FERRARA;FERRARA;;;;;x;x;x;x;x;;via gramicia, 34 , FERRARA 44123 , FE
CIRANO S,R,L,;sede op, VIA PALESTRO 64;FERRARA;;;;;x;x;x;x;x;;VIA PALESTRO 64 , FERRARA 44121 , FE
CLAMA SRL;sede legale RISTORANTE APELLE;FERRARA;;;;;x;x;x;x;x;x;VIA CARLO MAYR 75 , FERRARA 44121 , FE
CLARA;sede op, CENTRO OPERATIVO MIRABELLO;MIRABELLO - TERRE DEL RENO;;;;;x;x;x;x;x;x;
CLARA;sede op, CDR SANT\'AGOSTINO;SANT\'AGOSTINO - TERRE DEL RENO;;;;;x;;x;x;;x;
CLARA;sede op, CDR VIGARANO MAINARDA;VIGARANO MAINARDA;;;;;;;;x;;x;
CLARA;sede op, CDR MIRABELLO;MIRABELLO - TERRE DEL RENO;;;;;;x;;;x;x;
CLARA;sede op, CDR BONDENO;BONDENO;;;;;x;x;;x;;x;
CLARA;sede op, CENTRO OPERATIVO BONDENO;BONDENO;;;;;x;x;x;x;x;x;
CLARA;sede op, CDR SCORTICHINO;SCORTICHINO - BONDENO;;;;;x;;;;x;;
CLARA;sede op, CDR CENTO;CENTO;;;;;x;x;x;x;x;x;
CLARA;sede op, CDR POGGIO RENATICO;POGGIO RENATICO;;;;;;;x;;x;x;
CLARA;Sede op, CDR BOSCO MESOLA;BOSCO MESOLA;;;;;x;;x;;;x;
CLARA;Sede op, CDR DI ALBERONE (Riva del Po);ALBERONE;;;;;x;;;;x;;
