Cliente;Sito;Citta;DALLE_M;ALLE_M;DALLE_P;ALLE_P;0;1;2;3;4;5;Indirizzo_sito
CONDOMINIO CROCE BIANCA 18;sede legale;FERRARA;;;;;x;x;x;x;x;x;VIA CROCE BIANCA 18 , FERRARA 44121 , FE
CONDOMINIO DARSENA 1;sede legale;FERRARA;;;;;x;x;x;x;x;x;VIA DARSENA 80 , FERRARA 44122 , FE
CONDOMINIO DARSENA 160;SEDE LEGALE;FERRARA;;;;;x;x;x;x;x;x;VIA DARSENA 160 , FERRARA 44121 , FE
CONDOMINIO DEL COSSA 27/A-29;SEDE LEGALE;FERRARA;;;;;x;x;x;x;x;x;VIA DEL COSSA 27/A-29 , FERRARA 44121 , FE
CONDOMINIO DOMUS;sede legale;FERRARA;;;;;x;x;x;x;x;x;VIALE CAVOUR 144/A , FERRARA 44121 , FE
CONDOMINIO ERCOLE I° D\'ESTE 4;Sede;FERRARA;;;;;x;x;x;x;x;x;CORSO ERCOLE I D\'ESTE 4 , FERRARA 44121 , FE
CONDOMINIO EST DORO;sede legale;FERRARA;;;;;x;x;x;x;x;x;VIA PADOVA 28/34/38 , FERRARA 44122 , FE
CONDOMINIO FABBRICATO ARGINE DUCALE 391-395;Sede legale;FERRARA;;;;;x;x;x;x;x;x;VIA ARGINE DUCALE 391-395 , FERRARA 44122 , FE
CONDOMINIO FABBRICATO I MAGGIO 74/110;sede legale;FERRARA;;;;;x;x;x;x;x;x;CORSO I MAGGIO 74/110 , FERRARA 44121 , FE
CONDOMINIO FABBRICATO MORTARA 76;Sede legale;FERRARA;;;;;x;x;x;x;x;x;VIA MORTARA 76 , FERRARA 44121 , FE
CONDOMINIO FABBRICATO RESPIGHI;sede legale;CENTO;;;;;x;x;x;x;x;x;VIA RESPIGHI 1/11 , CENTO 44042 , FE
CONDOMINIO FABBRICATO VIALE MARGHERITA 55;sede op,;COMACCHIO;;;;;x;x;x;x;x;x;VIALE MARGHERITA 55 , COMACCHIO 44022 , FE
CONDOMINIO FLORIDA;Sede op,;FERRARA;;;;;x;x;x;x;x;x;VIA STEFANI 30 , FERRARA 44124 , FE
CONDOMINIO FORO BOARIO 65;Sede op, SCALA A;FERRARA;;;;;x;x;x;x;x;x;VIA FORO BOARIO 65 , FERRARA 44122 , FE
CONDOMINIO G3;SEDE LEGALE;FERRARA;;;;;x;x;x;x;x;x;VIA FIUME 5/7- CORSO PIAVE 6/8 , FERRARA 44121 , FE
CONDOMINIO GAETANO PESCI 135;sede legale;FERRARA;;;;;x;x;x;x;x;x;VIA G, PESCI 135 , FERRARA 44122 , FE
CONDOMINIO GHISIGLIERI 5/7;sede legale;FERRARA;;;;;x;x;x;x;x;x;VIA GHISIGLIERI 5/7 , FERRARA 44122 , FE
CONDOMINIO GIOVECCA 151;Sede;FERRARA;;;;;x;x;x;x;x;x;C,SO GIOVECCA 151 , FERRARA 44121 , FE
CONDOMINIO GORETTI 67;sede legale;FERRARA;;;;;x;x;x;x;x;x;VIA GORETTI 67 , FERRARA 44123 , FE
CONDOMINIO GULINELLI;Sede legale;PORTOMAGGIORE;;;;;x;x;x;x;x;x;VIA GULINELLI 10 , PORTOMAGGIORE 44015 , FE
CONDOMINIO HIBISCO;sede legale;FERRARA;;;;;x;x;x;x;x;x;VIA CARETTI 41 , FERRARA 44121 , FE
CONDOMINIO I TIGLI - VIA RAVENNA;sede legale;FERRARA;;;;;x;x;x;x;x;x;VIA MARIO PIVA 8, EX VIA RAVENNA 99 , FERRARA 44124 , FE
CONDOMINIO IL BORGO DI TORREFOSSA;Sede;TORRE FOSSA;;;;;x;x;x;x;x;x;VIA F, FABBRI, 610 , TORRE FOSSA 44124 , FE
CONDOMINIO IPPOGRIFO;sede legale;FERRARA;;;;;x;x;x;x;x;x;VIALE CAVOUR 133-139-141 VIA MANINI 15-5 , FERRARA 44121 , FE
CONDOMINIO JOLLY-ARIANUOVA;sede legale;FERRARA;;;;;x;x;x;x;x;x;VIA ARIANUOVA 24-26-26/A , FERRARA 44121 , FE
CONDOMINIO LA SFINGE;SEDE LEGALE;FERRARA;;;;;x;x;x;x;x;x;VIA BARLAAM 1-3-3C , FERRARA 44122 , FE
CONDOMINIO LE ROSE;sede legale;FERRARA;;;;;x;x;x;x;x;x;VIA L, AGUIARI 30/36 , FERRARA 44122 , FE
CONDOMINIO LUCCHESI 14;sede legale;FERRARA;;;;;x;x;x;x;x;x;VIA LUCCHESI, 14 , FERRARA 44121 , FE
CONDOMINIO M,G,;sede legale;FERRARA;;;;;x;x;x;x;x;x;VIA OROBONI 36 , FERRARA 44122 , FE
CONDOMINIO MACALISTER 31/37;SEDE LEGALE;FERRARA;;;;;x;x;x;x;x;x;VIA MAC ALISTER 31-37 , FERRARA 44121 , FE
CONDOMINIO MAGNOLIA;sede legale;FERRARA;;;;;x;x;x;x;x;x;VIA BOLOGNA 236 , FERRARA 44124 , FE
CONDOMINIO MARCONI 104;sede legale;FERRARA;;;;;x;x;x;x;x;x;VIA MARCONI 104 A-B-C , FERRARA 44122 , FE
CONDOMINIO MASCHERAIO 16/18;SEDE LEGALE E OPERATIVA;FERRARA;;;;;x;x;x;x;x;x;VIA MASCHERAIO 16/18 , FERRARA 44121 , FE
CONDOMINIO MAYR 203/205;SEDE LEGALE;FERRARA;;;;;x;x;x;x;x;x;VIA C,MAYR 203/205-COPERTA 28-28/A-GHISIGLIERI , FERRARA 44121 , FE
CONDOMINIO MAZZINI 8;sede legale;FERRARA;;;;;x;x;x;x;x;x;VIA MAZZINI 8 , FERRARA 44121 , FE
CONDOMINIO MEDINI 15;sede legale;FERRARA;;;;;x;x;x;x;x;x;VIA MEDINI 15 , FERRARA 44122 , FE
CONDOMINIO MONTEBELLO 23;sede legale;FERRARA;;;;;x;x;x;x;x;x;VIA MONTEBELLO 23 , FERRARA 44121 , FE
CONDOMINIO MONTEFIORINO 11;sede legale;PONTELAGOSCURO;;;;;x;x;x;x;x;x;VIA MONTEFIORINO 11 , PONTELAGOSCURO 44123 , FE
CONDOMINIO NERI 7/9/11;SEDE LEGALE;FERRARA;;;;;x;x;x;x;x;x;VIA FRANCESCO NERI 7/9/11 , FERRARA 44124 , FE
CONDOMINIO NICCOLINI 2;Sede;FERRARA;;;;;x;x;x;x;x;x;VIA NICCOLINI 2 , FERRARA 44121 , FE
CONDOMINIO NUOVA DARSENA 1;SEDE LEGALE;FERRARA;;;;;x;x;x;x;x;x;VIA DARSENA 45 , FERRARA 44122 , FE
CONDOMINIO NUOVA VIA BOLOGNA;sede legale;FERRARA;;;;;x;x;x;x;x;x;VIA BOLOGNA 413/417-VIA NERI 8-VIA ANSELMI 1 , FERRARA 44124 , FE
CONDOMINIO ORCHIDEA;sede legale;FERRARA;;;;;x;x;x;x;x;x;VIA ALGERIA 15 , FERRARA 44123 , FE
CONDOMINIO ORCHIDEA - GATTI CASAZZA;sede legale;FERRARA;;;;;x;x;x;x;x;x;VIA GATTI CASAZZA, 51/53 - VIA DEL GUERCINO, 13 , FERRARA 44122 , FE
CONDOMINIO ORTIGARA 8;sede legale;FERRARA;;;;;x;x;x;x;x;x;VIA ORTIGARA 8 , FERRARA 44121 , FE
CONDOMINIO PALAZZO DEL TRAVAGLIO;SEDE LEGALE;FERRARA;;;;;x;x;x;x;x;x;PIAZZA TRAVAGLIO 7 , FERRARA 44121 , FE
CONDOMINIO PALESTRO 45;sede legale;FERRARA;;;;;x;x;x;x;x;x;VIA PALESTRO 45 , FERRARA 44121 , FE
CONDOMINIO PALESTRO 61 - 61A;sede legale;FERRARA;;;;;x;x;x;x;x;x;VIA PALESTRO 61 - 61A , FERRARA 44121 , FE
CONDOMINIO PALESTRO 62;sede op,;FERRARA;;;;;x;x;x;x;x;x;VIA PALESTRO 62 , FERRARA 44121 , FE
CONDOMINIO PIANGIPANE 125 SCALA B-C;sede legale;FERRARA;;;;;x;x;x;x;x;x;VIA PIANGIPANE 125 SCALA B-C , FERRARA 44122 , FE
CONDOMINIO PIAVE 4;SEDE LEGALE;FERRARA;;;;;x;x;x;x;x;x;CORSO PIAVE 4 , FERRARA 44121 , FE
CONDOMINIO PORTA MARE 8;sede legale;FERRARA;;;;;x;x;x;x;x;x;CORSO PORTA MARE 8 , FERRARA 44121 , FE
CONDOMINIO PRIMAVERA-VIA CANAPA;sede legale;FERRARA;;;;;x;x;x;x;x;x;VIA CANAPA 21 , FERRARA 44122 , FE
CONDOMINIO PUTINATI 65/67/69/71;sede legale;FERRARA;;;;;x;x;x;x;x;x;VIA PUTINATI 65/67/69/71 , FERRARA 44123 , FE
CONDOMINIO QUARTIERE- VIA P,LANA;SEDE LEGALE;FERRARA;;;;;x;x;x;x;x;x;VIA P, LANA 1 , FERRARA 44122 , FE
CONDOMINIO RESIDENCE QUADRIFOGLIO;Sede;FERRARA;;;;;x;x;x;x;x;x;VIA CA\' NOVE 4/6 , FERRARA 44123 , FE
CONDOMINIO RESIDENZA AL PARCO;SEDE LEGALE;COPPARO;;;;;x;x;x;x;x;x;VIA CARDUCCI 1/N-1/O , COPPARO 44034 , FE
CONDOMINIO RESIDENZA BORGO SAN ROCCO;Sede;FERRARA;;;;;x;x;x;x;x;x;VIA BOLOGNA 58/B , FERRARA 44121 , FE
CONDOMINIO RESIDENZA EPOCA;Sede legale;FERRARA;;;;;x;x;x;x;x;x;VIA PORTA CATENA 55 , FERRARA 44121 , FE
CONDOMINIO RETRO COMET;sede legale;FERRARA;;;;;x;x;x;x;x;x;VIA CASELLI 11/B , FERRARA 44124 , FE
CONDOMINIO RIPAGRANDE 81;Sede;FERRARA;;;;;x;x;x;x;x;x;VIA RIPAGRANDE 81 , FERRARA 44121 , FE
CONDOMINIO ROMA SOLE;SEDE LEGALE;PORTOMAGGIORE;;;;;x;x;x;x;x;x;VIA SOLE, 3 , PORTOMAGGIORE 44015 , FE
CONDOMINIO ROSA ANGELINI 54/56;SEDE LEGALE;FERRARA;;;;;x;x;x;x;x;x;VIA ROSA ANGELINI 54/56 , FERRARA 44124 , FE
CONDOMINIO S,I,E,;sede legale;FERRARA;;;;;x;x;x;x;x;x;VIA BOLOGNA 57-65-73 , FERRARA 44122 , FE
CONDOMINIO SAN CARLO 56;SEDE LEGALE;POGGIO RENATICO;;;;;x;x;x;x;x;x;VIA SAN CARLO 56 , POGGIO RENATICO 44028 , FE
CONDOMINIO SAN GIORGIO (COM/RAV);SEDE LEGALE;FERRARA;7.00;10.00;;;;x;;;x;;VIA COMACCHIO 6-10-28 - VIA RAVENNA 49-61-71 FERRARA
CONDOMINIO SARACENO 101;sede legale;FERRARA;;;;;x;x;x;x;x;x;VIA SARACENO 101 - P,TA SAN PIETRO 2/A , FERRARA 44121 , FE
CONDOMINIO SARDI BELRIGUARDO;sede legale;FERRARA;;;;;x;x;x;x;x;x;VIA SARDI 4/6-VIA BELRIGUARDO 23 , FERRARA 44122 , FE
CONDOMINIO SCUTELLARI 10/12/16/18;SEDE LEGALE;FERRARA;;;;;x;x;x;x;x;x;VIA SCUTELLARI 10/12/16/18 , FERRARA 44122 , FE
CONDOMINIO SOLFERINO-MAGNAVACCA;sede legale;FERRARA;;;;;x;x;x;x;x;x;VIA SOLFERINO 7-9-11 VIA MAGNAVACCA 2 , FERRARA 44122 , FE
CONDOMINIO SPADARI 21;sede legale;FERRARA;;;;;x;x;x;x;x;x;VIA SPADARI 21 , FERRARA 44121 , FE
CONDOMINIO STAZIONE-CASTELLINA;sede legale;FERRARA;;;;;x;x;x;x;x;x;PIAZZALE STAZIONE 15 ANG, VIA CASTELLINA 7/15 , FERRARA 44122 , FE
CONDOMINIO TERRANUOVA 45;sede legale;FERRARA;;;;;x;x;x;x;x;x;VIA TERRANUOVA, 45 , FERRARA 44121 , FE
CONDOMINIO TITO SPERI 5;SEDE LEGALE;FERRARA;;;;;x;x;x;x;x;x;VIA TITO SPERI 5 , FERRARA 44121 , FE
CONDOMINIO VENEZIA 43;sede legale;PONTELAGOSCURO;;;;;x;x;x;x;x;x;VIA VENEZIA 43 , PONTELAGOSCURO 44123 , FE
CONDOMINIO VENEZIA 45;sede legale;PONTELAGOSCURO;;;;;x;x;x;x;x;x;VIA VENEZIA, 45 , PONTELAGOSCURO 44123 , FE
CONDOMINIO VERGA 31-33-35;sede legale;FERRARA;;;;;x;x;x;x;x;x;VIA VERGA 31-33-35 , FERRARA 44124 , FE
CONDOMINIO VERGA 37/39;sede legale;FERRARA;;;;;x;x;x;x;x;x;VIA VERGA 37/39 , FERRARA 44124 , FE
CONDOMINIO VIA FASCINATA 34/36;SEDE LEGALE;SANTA MARIA CODIFIUME;;;;;x;x;x;x;x;x;VIA FASCINATA 34/36 , SANTA MARIA CODIFIUME 44011 , FE
CONDOMINIO VIALE IV NOVEMBRE 53;sede legale;FERRARA;;;;;x;x;x;x;x;x;VIALE IV NOVEMBRE 53 , FERRARA 44121 , FE
CONDOMINIO VIALETTO;SEDE LEGALE;FERRARA;;;;;x;x;x;x;x;x;VIALE CAVOUR 144 , FERRARA 44124 , FE
CONDOMINIO VINCENZO MONTI 14;sede legale;FERRARA;;;;;x;x;x;x;x;x;VIA V, MONTI 14 , FERRARA 44122 , FE
CONDOMINIO VOLTA;sede legale;CENTO;;;;;x;x;x;x;x;x;VIA VOLTA 7 , CENTO 44042 , FE
CONDOMINIO XVII NOVEMBRE 51;sede legale;FERRARA;;;;;x;x;x;x;x;x;VIALE XVII NOVEMBRE 51 , FERRARA 44122 , FE
CONDOMINIO ZIRARDINI;sede legale VIA ZIRARDINI 34;FERRARA;;;;;x;x;x;x;x;x;VIA GAETANO ZIRARDINI 34 , FERRARA 44121 , FE
CONSORZIO CENTRO COMMERCIALE I PIOPPI;sede legale;COPPARO;;;;;x;x;x;x;x;x;VIA I MAGGIO 189 , COPPARO 44034 , FE
CONSORZIO DEI PROPRIETARI CENTRO COMMERCIALE IL CASTELLO;sede legale;FERRARA;;;;;x;x;x;x;x;x;VIA GIUSTI 4 , FERRARA 44124 , FE
CONSORZIO DEL CENTRO COMMERCIALE NUOVA DARSENA;Sede legale;FERRARA;;;;;x;x;x;x;x;x;VIA DARSENA 81 , FERRARA 44122 , FE
CONSORZIO DI BONIFICA PIANURA DI FERRARA;Sede op, ALTO FERRARESE BAURA-TORRE FOSSA;;;;;;x;x;x;x;x;;
CONSORZIO DI BONIFICA PIANURA DI FERRARA;Sede op, BASSO FERRARESE CODIGORO;;;;;;x;x;x;x;x;;
CONSORZIO DI BONIFICA PIANURA DI FERRARA;Sede op, BASSO FERRARESE VALLE LEPRI;;;;;;x;x;x;x;x;;
CONSORZIO DI BONIFICA PIANURA DI FERRARA;Sede op, BASSO FERRARESE MAROZZO;;;;;;x;x;x;x;x;;
CONSORZIO PROPRIETARI CENTRO COMMERCIALE LE MURA;sede legale;FERRARA;;;;;x;x;x;x;x;x;VIA COPPARO 132 , FERRARA 44123 , FE
COOP, GIROGIROTONDO S,C,A,R,L,;sede op, COMACCHIO - C,S,O, DUNE DI SABBIA;COMACCHIO;;;;;x;x;x;x;x;;VIA MONS, MANFRINI , COMACCHIO , FERRARA
COOP, SOCIALE IL GERMOGLIO SOC, COOP, ONLUS;sede op, CASSANA NIDO DON DIOLI;FERRARA;;;;;x;x;x;x;x;;VIA MODENA 204 , FERRARA 44121 , FE
COOP, SOCIALE IL GERMOGLIO SOC, COOP, ONLUS;sede op, TRESIGALLO MATERNA SERENA;TRESIGALLO;;;;;x;x;x;x;x;;PIAZZA ITALIA 10 , TRESIGALLO 44039 , FE
COOP, SOCIALE IL GERMOGLIO SOC, COOP, ONLUS;sede op, FORMIGNANA MATERNA SACRO CUORE;FORMIGNANA;;;;;x;x;x;x;x;;VIALE CAVOUR 2 , FORMIGNANA 44035 , FE
COOP, SOCIALE IL GERMOGLIO SOC, COOP, ONLUS;sede legale VIA A,BOITO;FERRARA;;;;;x;x;x;x;x;;VIA ARRIGO BOITO 8 , FERRARA 44124 , FE
COOP, SOCIALE IL GERMOGLIO SOC, COOP, ONLUS;sede op, PONTELAGOSCURO SCUOLA BRAGHINI ROSSETTI;PONTELAGOSCURO;;;;;x;x;x;x;x;;PIAZZA B, BUOZZI 15 , PONTELAGOSCURO 44123 , FE
COOP, SOCIALE IL GERMOGLIO SOC, COOP, ONLUS;sede op, RISTORANTE 381 STORIE DA GUSTARE;FERRARA;;;;;x;x;x;x;x;;P,TTA CORELLI 24/28 , FERRARA 44121 , FE
COOP, SOCIALE IL GERMOGLIO SOC, COOP, ONLUS;sede op, BAR RISTORO 381;FERRARA;;;;;x;x;x;x;x;;VIA AZZO NOVELLO 14 , FERRARA 44121 , FE
COOPERATIVA AGRICOLA GIUSEPPE MASSARENTI MOLINELLA;sede op, AZIENDA AGRICOLA SALINA;MOLINELLA;;;;;x;x;x;x;x;;VIA ROMAGNE 14 , MOLINELLA 40062 , BO
COOPERATIVA AGRICOLA GIUSEPPE MASSARENTI MOLINELLA;sede op, AGRITURISMO - TENUTA PRINCIPE;MOLINELLA;;;;;x;x;x;x;x;;VIA ROMAGNE 23 , MOLINELLA 40062 , BO
CORRADINI MARIA;SEDE LEGALE;FERRARA;;;;;x;x;x;x;x;;VIA GIACOMO FRANCO, 7 , FERRARA 44124 , FERRARA
CORTE DEI FIORI SOC, AGR, SRL;sede legale;VOGHIERA;;;;;x;x;x;x;x;;VIA A, LINCOLN 15 , VOGHIERA 44019 , FE
COSCO MARIA;Sede legale;FERRARA;;;;;x;x;x;x;x;;VIA PIANGIPANE 52 INT, 1 , FERRARA 44121 , FE
CT PACK SRL;sede op, A, VOLANO - FOSSALTA;FOSSALTA;;;;;x;x;x;x;x;;VIA ARGINE VOLANO 355/D , FOSSALTA 44034 , FE
CUORE DI PANE DI SISTI FEDERICA;sede op, GUZZINATI;TORRE FOSSA;;;;;x;x;x;x;x;;VIA BASSA, 5 , TORRE FOSSA 44124 , FE
CYBER SRL;sede legale;FERRARA;;;;;x;x;x;x;x;;VIA PLATTIS MAJOCCHI 32 , FERRARA 44124 , FE
DAL BUONO EREDI SRL;sede op, RUNCO;RUNCO DI PORTOMAGGIORE;;;;;x;x;x;x;x;;VIA BERTAZZINA DI SOPRA, 1 , RUNCO DI PORTOMAGGIORE 44015 , FE
DAL BUONO EREDI SRL;SEDE OP, PILASTRI;PILASTRI DI BONDENO;;;;;x;x;x;x;x;;VIA VIRGILIANA 82 , PILASTRI DI BONDENO 44012 , FE
DAL CAPPELLACCIO AL DOLCE DI ZERBINI GIADA;sede legale;FERRARA;;;;;;;x;x;x;x;VIALE BOLDRINI 61/63 , FERRARA 44122 , FE
DAVI LUISA;Sede;SAN MARTINO;;;;;x;x;x;x;x;;VIA GARDINALI 34 , SAN MARTINO 44124 , FE
DE ZOTTI VIVIANA;Sede legale;VENEZIA;;;;;;;;;;X;SANTA CROCE 2141 , VENEZIA 30125 , VE
DEGANI IRENE;sede legale;FERRARA;;;;;x;x;x;x;x;;VIA FRASCONA 113 , FERRARA 44124 , FE
DONATI STEFANO;Sede;MARRARA;;;;;x;x;x;x;x;;VIA ARGINELLO 9 , MARRARA 44124 , FE
DOPPIA MOZZARELLA SRLS;sede legale/op, LA PACE MARE;LIDO DI SPINA;;;;;x;x;x;x;x;;VIA LARGO CARAVAGGIO 1 , LIDO DI SPINA 44029 , FE
DUE GI SRL DI CATTANI GIUSEPPE & C,;sede legale;MIRABELLO;;;;;x;x;x;x;x;;CORSO ITALIA 570 , MIRABELLO 44047 , FE
DULCIS DI ROMINA CHINAGLIA;sede legale;FERRARA;;;;;;x;x;x;x;x;VIA RANUZZI 59, CASAGLIA , FERRARA 44123 , FE
DURANTE ENZO;SEDE LEGALE;FERRARA;;;;;x;x;x;x;x;;VIA C, CONTINI 19 , FERRARA 44123 , FE
DURANTI ALBERTO;Sede;FERRARA;;;;;x;x;x;x;x;;P,LE ALESSANDRO MANZONI 2 , FERRARA 44121 , FE
E,L,B,A, SRL DI FERRARESI & C, SRL;sede legale;FERRARA;;;;;x;x;x;x;x;;VIA ERIDANO 15 , FERRARA 44122 , FE
ELETTRO V,B, S,R,L,;sede legale;FERRARA;;;;;x;x;x;x;x;;VIA PONTEGRADELLA 45 , FERRARA 44123 , FE
ELITE SNC DI SAITTA P, & C,PASTICC,DUCA D\'ESTE;sede op, OSTERIA DEGLI ANGELI;FERRARA;;;;;x;x;x;;x;x;LARGO CASTELLO , FERRARA 44121 , FE
ELITE SNC DI SAITTA P, & C,PASTICC,DUCA D\'ESTE;sede op, PASTICCERIA DUCA D\'ESTE;FERRARA;;;;;;x;x;x;x;x;LARGO CASTELLO , FERRARA 44122 , FE
ELTO SRL;sede legale;FERRARA;;;;;x;x;x;x;x;;VIA RAVENNA 562 , FERRARA 44124 , FE
EMODIAL SRL;sede op, VESPUCCI;FERRARA;;;;;x;x;x;x;x;;VIA VESPUCCI, 52 , FERRARA 44124 , FE
EMODIAL SRL;SEDE LEGALE;FERRARA;;;;;x;x;x;x;x;;VIA FINATI 4/A , FERRARA 44124 , FE
ERREBI TECHNOLOGY S,P,A,;SEDE LEGALE;BADIA POLESINE;;;;;x;x;x;x;x;;VIA CA\' MIGNOLA NUOVA, 1290 , BADIA POLESINE 45021 , RO
ERREEFFE GROUP SPA;Sede op, MONSELICE;MONSELICE;;;;;x;x;x;x;x;;VIA LOMBARDIA 15 , MONSELICE 35043 , PD
ERREEFFE GROUP SPA;Sede Legale;ROVIGO;;;;;x;x;x;x;x;;VIA DELLA TECNICA 6 , ROVIGO 45100 , RO
ESTEBAR SRL;sede legale;FERRARA;;;;;;x;x;x;x;x;VIA SCIENZE 13A , FERRARA 44121 , FE
F,A,M,A,R, SRL;SEDE LEGALE;FERRARA;;;;;x;x;x;x;x;;VIA BOLOGNA 627 , FERRARA 44124 , FE
FABBRI MAURIZIO;sede legale;PONTELAGOSCURO;;;;;x;x;x;x;x;;VIA DEL BOSCHINO, 8 , PONTELAGOSCURO 44123 , FE
FACCHINI MECHANICS SRL;Sede legale;LAVEZZOLA DI CONSELICE;;;;;x;x;x;x;x;;VIA DELL\'INDUSTRIA 12 , LAVEZZOLA DI CONSELICE 48017 , RA
FAGGIOLI SRL;Sede op, VIA CASELLI 11;FERRARA;;;;;x;x;x;x;x;;VIA CASELLI 11 , FERRARA 44124 , FE
FANARO SILVIA;sede op, VIA CHENDI 28;FERRARA;;;;;x;x;x;x;x;;VIA CHENDI 28 , FERRARA 44123 , FE
FARINA ALESSANDRA;SEDE OP, BORGO SAN GIORGIO;FERRARA;;;;;x;x;x;x;x;;PIAZZA SAN GIORGIO , FERRARA 44124 , FE
FARMACIA CACCIATORI SRL;sede legale;OSPITAL MONACALE;;;;;x;x;x;x;x;;VIA ZENZALINO 219/A , OSPITAL MONACALE 44011 , FE
FASTER SRL;sede op,;FERRARA;;;;;x;x;x;x;x;;VIA MELVIN JONES 3 , FERRARA 44124 , FE
FAUSTINI MASSIMO;sede legale;OCCHIOBELLO;;;;;x;x;x;x;x;;VIA DELLA PACE 36D , OCCHIOBELLO 45030 , FE
FELISATTI GIORDANO;Sede;FERRARA;;;;;x;x;x;x;x;;VIA MADONNA DELLA NEVE 78 , FERRARA 44124 , FE
FEREXPERT SPA;sede legale;FERRARA;;;;;x;x;x;x;x;;VIA BOLOGNA 453 , FERRARA 44124 , FE
FERRARA ASCENSORI;SEDE LEGALE;FERRARA;;;;;x;x;x;x;x;;VIA ZUCCHINI 31/A , FERRARA 44123 , FE
FERRARA TRUCK SRL;sede legale;FERRARA;;;;;x;x;x;x;x;;VIA A,VESPUCCI 54 , FERRARA 44124 , FE
FERRARA TUA SPA;sede op, VIA COMACCHIO 435;FERRARA;;;;;;;;;;;VIA COMACCHIO 435 , FERRARA 44124 , FE
FERRARA TUA SPA;sede op, SCUOLA MEDIA DI CONA;CONA;;;;;;;;;;;VIA COMACCHIO 1001 , CONA 44124 , FE
FERRARA TUA SPA;sede op, SCUOLA MEDIA DE PISIS - V,LE KRASNODAR;FERRARA;;;;;;;;;;;VIALE KRASNODAR 102 , FERRARA 44124 , FE
FERRARA TUA SPA;sede op, VIA MARCONI 39 - LOCALI SPOGLIATOIO CAPI SQUADRA;FERRARA;;;;;;;;;;;VIA MARCONI 39 , FERRARA 44122 , FE
FERRARA TUA SPA;sede op, POLIZIA LOCALE CENTRO/NORD;FERRARA;;;;;;;;;;;VIA IV NOVEMBRE 9 , FERRARA 44122 , FE
FERRARA TUA SPA;sede op, VIA DI SPINA 22;FERRARA;;;;;;;;;;;VIA DI SPINA 22 , FERRARA , FE
FERRARA TUA SPA;Sede op, VIA SARDI;FERRARA;;;;;;;;;;;VIA GIUSEPPE SARDI , FERRARA 44121 , FE
FERRARA TUA SPA;sede op, VIA BUTTIFREDO 33-35 ISOLA ECOLOGICA;FERRARA;;;;;;;;;;;VIA BUTTIFREDO 33-35 , FERRARA 44124 , FE
FERRARA TUA SPA;sede op, DERATTIZZAZIONE CANALI TERRITORIO COMUNALE - COMPARTO NORD;;;;;;;;;;;;
FERRARA TUA SPA;sede op, DERATTIZZAZIONE CANALI TERRITORIO COMUNALE - COMPARTO SUD;;;;;;;;;;;;
FERRARA TUA SPA;sede op, ISOLE ECOLOGICHE TERRITORIO COMUNALE;;;;;;;;;;;;
FERRARA TUA SPA;sede op, VIA CHIESA 15-17;FERRARA;;;;;;;;;;;VIA CHIESA 15 , FERRARA 44124 , FE
FERRARA TUA SPA;sede op, SCUOLA FERRUCCIO MAZZA;FERRARA;;;;;;;;;;;VIA STEFANO BATTARA, 51 , FERRARA 44122 , FE
FERRARA TUA SPA;sede op, VIA ARGINONE 251-253;FERRARA;;;;;;;;;;;VIA ARGINONE 251-253 , FERRARA , FE
FERRARA TUA SPA;sede op, PARCO URBANO LATO VIA BACCHELLI;FERRARA;;;;;;;;;;;VIA BACCHELLI , FERRARA , FE
FERRARA TUA SPA;sede op, CIMITERO DI FRANCOLINO;FRANCOLINO;;;;;;;;;;;, FRANCOLINO 44123 , FE
FERRARA TUA SPA;sede op, VIRGINIA WOOLF ANGOLO EVA ED ADAMO;FERRARA;;;;;;;;;;;via Virginia Woolf angolo Eva ed Adamo , FERRARA 44124 , FE
FERRARA TUA SPA;sede op, VIA MAYR 108-110 INCROCIO VIA CAMMELLO;FERRARA;;;;;;;;;;;VIA MAYR 108-110 INCROCIO VIA CAMMELLO , FERRARA , FE
FERRARA TUA SPA;Sede op, VIA MAYR 205 E VIA GHISIGLIERI;FERRARA;;;;;;;;;;;VIA CARLO MAYR 205 , FERRARA , FE
FERRARA TUA SPA;sede op, SCUOLA ELEMENTARE GOVONI;FERRARA;;;;;;;;;;;VIA FORTEZZA 20 , FERRARA 44121 , FE
FERRARA TUA SPA;sede op, LEGA DEL CANE;FERRARA;;;;;;;;;;;VIA CONCHETTA ,58 , FERRARA 44123 , FE
FERRARA TUA SPA;Sede op, PALAZZO DEI DIAMANTI;FERRARA;;;;;;;;;;;CORSO ERCOLE I D\'ESTE 21 , FERRARA 44121 , FE
FERRARA TUA SPA;sede op, SCUOLA ELEMENTARE DI QUARTESANA;QUARTESANA;;;;;;;;;;;VIA RABBIOSA 107 , QUARTESANA 44124 , FE
FERRARA TUA SPA;sede op, MUSEO DEL DUOMO;FERRARA;;;;;;;;;;;VIA SAN ROMANO 2 , FERRARA 44121 , FE
FERRARA TUA SPA;sede op, VIA RAVENNA 299;FERRARA;;;;;;;;;;;VIA RAVENNA 299 , FERRARA , FE
FERRARA TUA SPA;sede op, GATTILE COMUNALE;FERRARA;;;;;;;;;;;VIA GRAMICIA, 118 , FERRARA 44123 , FE
FERRARA TUA SPA;sede op, VICOLO MOZZO DELLE AGUCCHIE;FERRARA;;;;;;;;;;;VICOLO MOZZO DELLE AGUCCHIE , FERRARA , FE
